GAME ID,DATE TIME,TIME,Location,Home Team,Road Team,Home Score,Road Score,Result,Home Team Logo,Road Team Logo
1001,3/11/2019,7:00 PM,Quicken Loans Arena,Cleveland Cavaliers,Toronto Raptors,,,,https://www.nba.com/assets/logos/teams/primary/web/CLE.svg,https://www.nba.com/assets/logos/teams/primary/web/TOR.svg
1002,3/11/2019,7:00 PM,Capital One Arena,Washington Wizards,Sacramento Kings,,,,https://www.nba.com/assets/logos/teams/primary/web/WAS.svg,https://www.nba.com/assets/logos/teams/primary/web/SAC.svg
1003,3/11/2019,7:30 PM,Barclays Center,Brooklyn Nets,Detroit Pistons,,,,https://www.nba.com/assets/logos/teams/primary/web/BKN.svg,https://www.nba.com/assets/logos/teams/primary/web/DET.svg
1004,3/11/2019,8:00 PM,Toyota Center,Houston Rockets,Charlotte Hornets,,,,https://www.nba.com/assets/logos/teams/primary/web/HOU.svg,https://www.nba.com/assets/logos/teams/primary/web/CHA.svg
1005,3/11/2019,9:00 PM,Vivint Smart Home Arena,Utah Jazz,Oklahoma City Thunder,,,,https://www.nba.com/assets/logos/teams/primary/web/UTA.svg,https://www.nba.com/assets/logos/teams/primary/web/OKC.svg
1006,3/11/2019,10:30 PM,Staples Center,LA Clippers,Boston Celtics,,,,https://www.nba.com/assets/logos/teams/primary/web/LAC.svg,https://www.nba.com/assets/logos/teams/primary/web/BOS.svg
1007,3/12/2019,7:00 PM,Bankers Life Fieldhouse,Indiana Pacers,New York Knicks,,,,https://www.nba.com/assets/logos/teams/primary/web/IND.svg,https://www.nba.com/assets/logos/teams/primary/web/NYK.svg
1008,3/12/2019,7:00 PM,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,,,,https://www.nba.com/assets/logos/teams/primary/web/PHI.svg,https://www.nba.com/assets/logos/teams/primary/web/CLE.svg
1009,3/12/2019,8:00 PM,United Center,Chicago Bulls,Los Angeles Lakers,,,,https://www.nba.com/assets/logos/teams/primary/web/CHI.svg,https://www.nba.com/assets/logos/teams/primary/web/LAL.svg
1010,3/12/2019,8:00 PM,Smoothie King Center,New Orleans Pelicans,Milwaukee Bucks,,,,https://www.nba.com/assets/logos/teams/primary/web/NOP.svg,https://www.nba.com/assets/logos/teams/primary/web/MIL.svg
1011,3/12/2019,8:30 PM,American Airlines Center,Dallas Mavericks,San Antonio Spurs,,,,https://www.nba.com/assets/logos/teams/primary/web/DAL.svg,https://www.nba.com/assets/logos/teams/primary/web/SAS.svg
1012,3/12/2019,10:30 PM,Pepsi Center,Denver Nuggets,Minnesota Timberwolves,,,,https://www.nba.com/assets/logos/teams/primary/web/DEN.svg,https://www.nba.com/assets/logos/teams/primary/web/MIN.svg
1013,3/12/2019,10:30 PM,Staples Center,LA Clippers,Portland Trail Blazers,,,,https://www.nba.com/assets/logos/teams/primary/web/LAC.svg,https://www.nba.com/assets/logos/teams/primary/web/POR.svg
1014,3/13/2019,7:00 PM,AmericanAirlines Arena,Miami Heat,Detroit Pistons,,,,https://www.nba.com/assets/logos/teams/primary/web/MIA.svg,https://www.nba.com/assets/logos/teams/primary/web/DET.svg
1015,3/13/2019,7:00 PM,Capital One Arena,Washington Wizards,Orlando Magic,,,,https://www.nba.com/assets/logos/teams/primary/web/WAS.svg,https://www.nba.com/assets/logos/teams/primary/web/ORL.svg
1016,3/13/2019,7:30 PM,State Farm Arena,Atlanta Hawks,Memphis Grizzlies,,,,https://www.nba.com/assets/logos/teams/primary/web/ATL.svg,https://www.nba.com/assets/logos/teams/primary/web/MEM.svg
1017,3/13/2019,8:00 PM,Chesapeake Energy Arena,Oklahoma City Thunder,Brooklyn Nets,,,,https://www.nba.com/assets/logos/teams/primary/web/OKC.svg,https://www.nba.com/assets/logos/teams/primary/web/BKN.svg
